email,subject,message
2@2.com,3,dkeja

2@2.com,3,dkeja

2@2.com,3,dkeja

y@y.com,y,y

y@y.com,y,y
y@y.com,y,y
y@y.com,y,y
y@y.com,y,y
y@y.com,y,y
y@y.com,y,y
test@test.com,test,new test
test@test.com,Python Anywhere,testing commit and pull and merge as well as .env calls on pythonanywhere.
k@test.com,ee,d
test@test.com,k,k
k@k.com,test,bloah
k@k.com,test,bloah
k@k.com,test,bloah
test@test.com,sendgrid api,through pythonanywhere
test@test.com,sendgrid api,through pythonanywhere with dotenv in wsgi
test@test.com,sendgrid api,through pythonanywhere with dotenv in wsgi
